Nom, Signe
Jean-François Roberge,No data
François Legault,Gémeau
Sylvie D'Amours,Lion
Nathalie Roy,Taureau
Pierre Arcand,Scorpion
Donald Martel,Lion
Martin Ouellet,Cancer
Vincent Marissal,No data
Catherine Dorion,Balance
Geneviève Guilbault,Scorpion
Monique Sauvé,No data
Simon Jolin-Barrette,No data
François Bonnardel,No data
Filomena Rotiroti,Taureau
Véronique Hivon,No data
André Lamontagne,Gémeau
Éric Caire,No data
Marc Picard,Taureau
Dominique Anglade,Verseau
Hélène David,Balance
Méganne Perry Mélançon,No data
Jean Rousselle,Bélier
Paule Robitaille,No data
Christine St-Pierre,Gémeau
Sol Zanetti,Lion
Frantz Benjamin,No data
Gregory Kelley,No data
Jennifer Maccarone,No data
Francine Charbonneau,Bélier
Lise Thériault,Capricorne
Marie-Claude Nichols,Balance
Kathleen Weil,No data
David Birnbaum,Bélier
Nicole Ménard,No data
François Paradis,Bélier
Gaétan Barrette,No data
Chantal Soucy,Capricorne
Saul Polo,No data
Carlos J. Leitão,Poisson
Mathieu Lemay,No data
Sébastien Schneeberger,Lion
Marie Montpetit,No data
André Fortin,Balance
Benoit Charette,Cancer
Mario Laframboise,Scorpion
Claire Samson,Bélier
Marc Tanguay,No data
Enrico Ciccone,Bélier
Monsef Derraji,No data
Isabelle Melançon,Cancer
Maryse Gaudreault,No data
Eric Girard,Balance
Danielle McCann,No data
Christian Dubé,Balance
Sonia LeBel,No data
Jean Boulet,No data
Caroline Proulx,Cancer
Chantal Rouleau,No data
Pierre Dufour,Scorpion
Nadine Girault,No data
MarieChantal Chassé,No data
Mathieu Lacombe,No data
Pierre Fitzgibbon,No data
Suzanne Blais,No data
Agnès Grondin,Balance
Luc Provençal,No data
Samuel Poulin,No data
Claude Reid,Balance
Richard Campeau,No data
Mathieu Lévesque,No data
Émilie Foster,Poisson
François Tremblay,Bélier
Robert Bussière,Lion
Chantale Jeannotte,Taureau
Éric Girard,No data
Marie-Louise Tardif,No data
Lucie Lecours,Capricorne
Simon Allaire,Poisson
François Jacques,Bélier
Gilles Bélanger,Verseau
Vincent Caron,No data
Jean-Bernard Émond,No data
André Bachand,No data
Denis Tardif,No data
Geneviève Hébert,Taureau
Louis Lemieux,Vierge
Youri Chassin,Taureau
Christopher Skeete,Vierge
Marilyne Picard,No data
Denis Lamothe,No data
Ian Lafrenière,No data
Mario Asselin,No data
Suzanne Dansereau,Balance
Marguerite Blais,Vierge
Lionel Carmant,No data
Marie-Eve Proulx,No data
Nancy Guillemette,No data
Isabelle Charest,No data
Éric Lefebvre,Gémeau
Sylvain Lévesque,Balance
Alexandre Leduc,No data
Gabriel Nadeau-Dubois,No data
Guy Ouellette,Balance
Catherine Fournier,Bélier
Ruba Ghazal,Balance
Andrés Fontecilla,No data
Christine Labrie,Balance
Joël Arseneau,Bélier
Lorraine Richard,Lion
Sylvain Gaudreault,Cancer
Émilise Lessard-Therrien,Balance
Jonatan Julien,Poisson
Andrée Laforest,No data
Harold LeBel,Cancer
Manon Massé,Gémeau
Jean-François Simard,No data
Stéphanie Lachance,No data
Louis-Charles Thouin,No data
Marwah Rizqy,Taureau
Isabelle Lecours,Balance
Lise Lavallée,No data
Joëlle Boutin,No data
Claire IsaBelle,No data
Pascal Bérubé,Verseau
Sylvain Roy,Lion
